"","State","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","TotalPop"
"1555","Connecticut",91198,93256,5.7,89.4,1.5,0.1,1.9,0,143062,76438,1577,40619,902,6.8,7.3,40.8,17,21.6,9.8,10.8,83.7,6.2,1.4,2.4,1,5.3,27.4,98166,77.7,13.5,8.6,0.2,6,184454
"1556","Tennessee",9625,8221,1.9,92.2,3.8,0.5,0.4,0,14576,32994,3833,19183,1778,25.3,39.1,25.8,18.3,23.7,14.3,17.9,84.5,7.2,0.6,1.3,1.8,4.7,24.8,5595,67,23.4,9.5,0.2,6,17846
"1557","Michigan",12819,12875,1.4,95.6,0.6,0.8,0.6,0,20460,45681,2503,25998,1316,15.2,15.4,35.4,17.1,20.9,11.6,15.1,84.3,8.8,0.3,2.5,1.7,2.3,17,11154,81.7,13.2,4.9,0.3,6,25694
"1558","New York",115854,116470,5.4,82.6,5.8,0.2,4,0,176028,51316,933,27283,549,16.6,26.2,35.3,20.4,23.4,8.3,12.6,82.1,8,1,3.7,0.7,4.4,19.6,102889,74.9,19.6,5.2,0.3,6,232324
"1559","Kentucky",4420,4232,5.2,91.3,1.5,0,0.1,0,6308,50250,4645,22508,1388,13.4,19.9,20.2,18.3,27.1,13,21.4,79.8,13.5,0.2,1.9,0.6,4,29.4,3728,77.8,15.9,6,0.3,6,8652
"1560","Washington",30692,29170,21.1,72.3,1.4,0.5,1.5,0.1,42837,52630,2025,26651,1172,14.4,17.5,36,20.6,21.2,11.7,10.4,71.6,12.2,0.7,8,2.3,5.2,15.6,26496,72.4,20.8,6.6,0.3,6,59862
"1561","Wyoming",9630,9161,4.5,92.5,0.3,0.3,0.3,0,13399,63756,4307,29516,1813,9.3,11.5,31.2,16.2,19.5,21,12.1,74.3,15.8,1.4,2.5,1.5,4.5,26.2,9124,73.9,18.2,7.6,0.3,6,18791
"1562","Idaho",3678,3290,4.1,91.8,0.2,1,0.7,0,5653,49964,9226,29648,2408,11.3,19.9,40.3,13.9,24.4,10.4,11.1,68.8,12.8,0.4,5.5,2.6,9.9,38.1,2749,65.8,22,11.8,0.3,6,6968
"1563","Michigan",5112,3468,1.5,73.1,15.8,4.7,0.5,0,6953,42757,2418,18975,1634,14.4,22.9,25.8,22.5,24.1,10.1,17.5,83.2,8.5,0,3.5,0.9,4,19,2485,77.6,16.6,5.4,0.4,6,8580
"1564","Georgia",15502,16065,4.7,90.8,2.1,0.7,0.4,0,25045,43039,2966,23364,2071,20.1,18.8,28.8,20.8,24.1,11,15.3,85.2,7.1,0.2,3.2,0.9,3.5,28.7,14549,74.1,17.7,7.7,0.5,6,31567
"1565","Indiana",13983,13857,2.3,95.4,1.4,0.2,0.4,0,21010,48362,3477,22901,1017,13.9,19.2,21.1,17.9,21.7,11.1,28.2,83.6,10.2,0.4,1.5,1.3,3.1,26.3,13028,81.4,13.7,4.3,0.6,6,27840
"1566","Wyoming",20206,20148,6.8,70.1,0.5,19.6,0.1,0.1,29888,55013,2341,27220,897,13.7,19.1,33.5,20.7,19.4,14.8,11.5,75.2,10.5,0.5,4,3.1,6.6,17.9,18674,61.3,28.9,9.2,0.6,6,40354
"1567","Missouri",2204,2246,0.7,97.3,0.8,0,0,0,3246,38848,2968,19882,1933,18.4,25.8,27.1,16.2,22.9,14,19.8,84.3,8.4,0.2,1.8,1.3,4.1,25.4,1911,69.6,17.8,11.9,0.6,6,4450
"1568","Illinois",3404,3523,1.5,96.3,0.1,0.3,0.7,0,5584,47428,3256,27949,3147,11.3,22.8,25,21.4,18.3,12.9,22.4,85.4,6.5,0.4,2.2,0.8,4.7,24.8,3331,76.7,14.3,8.3,0.7,6,6927
